StationID,B,Bw,Bh,G,Gw,Gh,S,Sw,Sh
500216029,1248,993,255,7507,4913,2594,156,129,27
500216030,6068,4338,1730,2843,1697,1146,0,0,0
500216031,1080,789,291,7113,4734,2379,718,512,206
500216032,1897,1574,323,6531,4254,2277,483,207,276
500216033,1042,765,277,7601,5104,2497,268,166,102
500216034,2381,1525,856,6490,4490,2000,40,20,20
500216035,601,488,113,8020,5290,2730,290,257,33
500216036,823,746,77,8012,5239,2773,76,50,26
500216037,507,270,237,8364,5725,2639,40,40,0
500216038,1769,1261,508,6997,4724,2273,145,50,95
500216039,685,576,109,8119,5364,2755,107,95,12
500216040,752,641,111,7232,4594,2638,927,800,127
500216041,394,378,16,8373,5528,2845,144,129,15
500216043,56,55,1,8819,5977,2842,36,3,33
500216044,794,498,296,8039,5459,2580,78,78,0
500216045,771,590,181,8128,5444,2684,12,1,11
500216046,888,735,153,7846,5200,2646,177,100,77
500216047,530,380,150,8349,5643,2706,32,12,20
500216048,989,746,243,7855,5250,2605,67,39,28
500216049,1185,851,334,7693,5174,2519,33,10,23
500216050,1238,978,260,7546,4980,2566,127,77,50
500216051,1076,909,167,7762,5115,2647,73,11,62
500216052,502,439,63,8326,5513,2813,83,83,0
500216053,1582,670,912,7329,5365,1964,0,0,0
500216054,200,148,52,8592,5827,2765,119,60,59
500216055,204,142,62,8657,5843,2814,50,50,0
500216056,1016,854,162,7423,4921,2502,472,260,212
500216057,181,73,108,8594,5942,2652,136,20,116
500216058,273,159,114,8617,5855,2762,21,21,0
500216059,627,540,87,8284,5495,2789,0,0,0
500216060,387,301,86,8484,5694,2790,40,40,0
500216061,459,281,178,8111,5514,2597,341,240,101
500216062,253,184,69,8599,5795,2804,59,56,3
500216063,4,4,0,8670,5794,2876,237,237,0
500216064,103,100,3,8808,5935,2873,0,0,0
500217001,4520,3054,1466,4391,2981,1410,4457,3021,1436
500217002,4468,3027,1441,4443,3008,1435,4457,3021,1436
500217003,5732,3916,1816,3179,2119,1060,4457,3021,1436
500218001,5535,3806,1729,3356,2213,1143,2221,1476,745
500218002,5524,3734,1790,3377,2291,1086,2222,1391,831
500218004,3101,2357,744,5711,3670,2041,99,8,91
500218005,2559,1960,599,6250,4031,2219,102,44,58
500218006,3616,2590,1026,5284,3434,1850,11,11,0
500218007,647,444,203,7680,5108,2572,584,483,101
500218008,1977,1180,797,6881,4802,2079,53,53,0
500218009,1959,1349,610,6529,4307,2222,423,379,44
500218010,1628,1381,247,6913,4554,2359,370,100,270
500218011,1821,1391,430,7081,4636,2445,9,8,1
500218012,1468,1218,250,7443,4817,2626,0,0,0
500218013,1806,1473,333,7105,4562,2543,0,0,0
500218014,1030,699,331,7757,5215,2542,124,121,3
500218015,2901,2306,595,6008,3727,2281,2,2,0
500218016,1318,1093,225,7584,4942,2642,9,0,9
500218017,937,705,232,7974,5330,2644,0,0,0
500218018,1147,954,193,7748,5081,2667,16,0,16
500218019,1003,813,190,7738,5109,2629,170,113,57
500218020,1420,943,477,7388,4989,2399,103,103,0
500218021,2867,2303,564,5373,3310,2063,671,422,249
500218022,2343,1662,681,6419,4314,2105,149,59,90
500218023,1409,759,650,7252,5073,2179,250,203,47
500218024,1231,1074,157,7572,4919,2653,108,42,66
500218025,2714,1655,1059,6160,4348,1812,37,32,5
500218026,1301,851,450,7346,5052,2294,264,132,132
500218027,2466,2077,389,6233,3751,2482,212,207,5
500218028,3156,2101,1055,5292,3546,1746,463,388,75
500218029,3036,2272,764,5872,3760,2112,3,3,0
500218030,1966,1552,414,6834,4483,2351,111,0,111
500218031,1833,1294,539,7078,4741,2337,0,0,0
500218032,415,185,230,8424,5836,2588,72,14,58
500218033,2392,1776,616,6478,4240,2238,41,19,22
500218034,1370,1071,299,7358,4830,2528,183,134,49
500218035,2332,1758,574,6554,4260,2294,25,17,8
500218036,2297,1415,882,6579,4608,1971,35,12,23
500218037,2603,2079,524,6099,3855,2244,209,101,108
500218038,2593,2003,590,6277,4013,2264,41,19,22
500218039,1809,1490,319,7095,4538,2557,7,7,0
500218040,1882,1126,756,6984,4892,2092,45,17,28
500218041,2027,1608,419,6852,4402,2450,32,25,7
500218042,1332,1115,217,7579,4920,2659,0,0,0
500218043,2047,1506,541,6616,4389,2227,248,140,108
500218044,3183,2289,894,5677,3727,1950,51,19,32
500218045,3843,2838,1005,3614,2121,1493,1454,1076,378
500218046,5721,3734,1987,3172,2283,889,2209,1378,831
500218047,592,442,150,8310,5593,2717,9,0,9
500218048,1341,961,380,7570,5074,2496,0,0,0
500218049,2256,1494,762,6624,4510,2114,31,31,0
500218050,0,0,0,8911,6035,2876,0,0,0
500218051,1904,1423,481,6898,4531,2367,109,81,28
500218052,3352,2462,890,5463,3510,1953,96,63,33
500218053,2889,2261,628,5882,3691,2191,140,83,57
500218054,746,638,108,7882,5249,2633,283,148,135
500218055,3321,2325,996,5590,3710,1880,0,0,0
500218056,1395,873,522,7411,5110,2301,105,52,53
500218057,2261,1466,795,6062,4017,2045,588,552,36
500218058,1931,1552,379,6501,4061,2440,479,422,57
500218059,779,641,138,8132,5394,2738,0,0,0
500218060,626,457,169,7384,4761,2623,901,817,84
500218061,4032,2938,1094,4748,3024,1724,131,73,58
500218062,2596,2006,590,6315,4029,2286,0,0,0
500218063,3010,2165,845,5833,3827,2006,68,43,25
500218064,1742,1208,534,6951,4640,2311,218,187,31
500218065,1500,1178,322,7388,4851,2537,23,6,17
500218066,1720,1138,582,6989,4742,2247,202,155,47
500218067,1861,1265,596,6986,4754,2232,64,16,48
500218068,2365,2013,352,6458,4002,2456,88,20,68
500218069,1996,1467,529,6826,4479,2347,89,89,0
500218070,3298,2003,1295,5613,4032,1581,0,0,0
500218071,1833,1453,380,6586,4358,2228,492,224,268
500218072,2035,1601,434,6813,4419,2394,63,15,48
500218073,2143,1540,603,6630,4461,2169,138,34,104
500218074,1973,1554,419,6597,4246,2351,341,235,106
500218075,3038,2297,741,5847,3712,2135,26,26,0
500218076,1198,612,586,7035,4904,2131,678,519,159
500218077,2101,1583,518,6757,4412,2345,53,40,13
500218078,2134,1510,624,6709,4488,2221,68,37,31
500218079,2166,1575,591,6541,4287,2254,204,173,31
500218080,2015,1356,659,6849,4641,2208,47,38,9
500218081,2553,1939,614,6268,4006,2262,90,90,0
500218082,2119,1402,717,6718,4605,2113,74,28,46
500218083,1042,813,229,7777,5167,2610,92,55,37
500218084,2401,1838,563,6037,4015,2022,473,182,291
500218085,1764,1164,600,5818,3917,1901,1329,954,375
500218086,1684,1225,459,6509,4317,2192,718,493,225
500218087,1947,1185,762,6796,4760,2036,168,90,78
500218088,1621,1256,365,7231,4779,2452,59,0,59
500218089,1596,1257,339,7061,4549,2512,254,229,25
500218090,2147,1906,241,6764,4129,2635,0,0,0
500218091,2140,1727,413,5164,3217,1947,1607,1091,516
500218092,14,9,5,8778,5923,2855,119,103,16
500218093,1396,880,516,7101,4741,2360,414,414,0
500218094,3322,2758,564,5587,3277,2310,2,0,2
500218095,1548,984,564,6999,4748,2251,364,303,61
500218096,1980,1625,355,6320,4164,2156,611,246,365
500218097,4842,2494,2348,3987,3459,528,519,106,413
500218098,2033,1549,484,6708,4429,2279,170,57,113
500218099,1897,1413,484,6687,4486,2201,327,136,191
500218100,1050,726,324,7623,5101,2522,238,208,30
500218102,3883,2882,1001,5028,3153,1875,0,0,0
500218103,2033,1266,767,6740,4631,2109,138,138,0
500218104,2,2,0,8738,5862,2876,171,171,0
500218105,962,365,597,7908,5670,2238,41,0,41
500218106,958,739,219,6851,4296,2555,1102,1000,102
500218107,7,7,0,8904,6028,2876,0,0,0
500218108,2600,2100,500,5949,3720,2229,362,215,147
500218109,1915,1136,779,6603,4568,2035,393,331,62
500218110,293,236,57,8616,5799,2817,2,0,2
500218111,1538,1158,380,7325,4860,2465,48,17,31
500218113,1821,1369,452,6919,4530,2389,171,136,35
500218114,809,713,96,7938,5274,2664,164,48,116
500218115,1933,1332,601,6710,4483,2227,268,220,48
500218116,2885,1978,907,5876,3909,1967,150,148,2
500218117,1373,1017,356,6974,4551,2423,564,467,97
500218118,3179,2465,714,5699,3568,2131,33,2,31
500218119,1682,1388,294,6934,4379,2555,295,268,27
500218120,300,278,22,8611,5757,2854,0,0,0
